state|district|sub_district|city|locality|sublocality|road|house number|poi|pincode|latitude|longitude
Maharashtra|Palghar District|Vasai|Vasai Virar|Nallasopara West|Sri Prastha|Nile More Road||Dominos|401203|19.420257|72.811398
Punjab|Jalandhar District|Jalandhar 1|Jalandhar|Modern Nagar||||Saphire|144001|31.315551|75.588988
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Indiranagar|Hoysala Nagar|||Jaquar|560038|12.978803|77.636273
Rajasthan|Jaipur District|Sanganer|Jaipur|Malviya Nagar|G Town|||BTC Impex Pvt Ltd|302017|26.855393|75.806407
Gujarat|Ahmedabad District|Ahmadabad City|Ahmedabad|Navrangpura||SV Desai Marg||Cheval Cafe and Lounge|380009|23.032788|72.555259
Maharashtra|Pune District|Pune City|Pune|Kothrud|Rambagh Colony|MIT College Back Road||Dentakraft Clinic|411038|18.510747|73.815586
Andhra Pradesh|East Godavari District|Rajamahendravaram Rural|Rajamahendravaram|Padmavathi Nagar||||Kurlon|533106|17.02642|81.811212
Tamil Nadu|Chennai District|Velacheri|Chennai|Velachery|Nehru Nagar|Phoenix Market City Street||Label Ritu Kumar|600042|12.991508|80.216532
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|BTM Layout Stage 2|Kaverappa Industrial Area|Bannerghatta Main Road||Gelato Italiano|560076|12.907834|77.601305
Uttarakhand|Udham Singh Nagar District|Bajpur|Bazpur|||Ram Raj Road||Hitachi|262401|29.161864|79.152993
Delhi|New Delhi District|Vasant Vihar|New Delhi|Delhi Aerocity|Worldmark|||Shaze|110037|28.550539|77.121451
West Bengal|North Twenty Four Parganas District|Rajarhat|Bidhan Nagar|Sector 3|Block KB|||Charnock's|700098|22.567369|88.4114
Maharashtra|Pune District|Pune City|Pune|Yerwada|Ishanya|North Road||Wicked China Pune Yerwada|411006|18.556674|73.89369
Rajasthan|Jaipur District|Sanganer|Jaipur|Durgapura||||Club Roadies|302018|26.8419|75.7962
Uttar Pradesh|Gautambuddha Nagar District|Dadri|Noida|Sector 61|Block C|||Phulkari Creation|201307|28.597318|77.364742
Punjab|SAS Nagar District|Kharar|Mohali|Sector 125|Sunny Enclave|||Kurlon|140301|30.740949|76.67393
Jharkhand|East Singhbhum District|Golmuri Cum Jugsalai|Jamshedpur|Bistupur||||FASTag Centre|831001|22.794426|86.183694
Uttar Pradesh|Lucknow District|Sadar|Lucknow|Gomti Nagar|Vibhuti Khand|Gomti Nagar Road||Chambor Geneva|226010|26.862588|81.010526
Maharashtra|Mumbai District|Mumbai|Mumbai|Malabar Hill|Walkeshwar|Dr NA Purandare Marg||First Solar India Ltd|400006|18.952554|72.804669
Uttar Pradesh|Firozabad District|Shikohabad|Shikohabad|||||Shikohabad Junction Railway Station Parking|283135|27.086598|78.575422
Delhi|New Delhi District|Vasant Vihar|New Delhi|Munirka||||Deft Bio Systems|110067|28.556391|77.173812
Goa|North Goa District|Bardez|Porvorim|PDA Colony||||Baskin Robbins|403501|15.527288|73.825891
Uttar Pradesh|Ghaziabad District|Ghaziabad|Ghaziabad|Indirapuram|Shipra Mall|||PVR INOX|201014|28.634204|77.369505
Haryana|Gurugram District|Wazirabad|Gurugram|Sector 43|DLF City Phase 5|||WeWork Two Horizon Centre|122002|28.451365|77.096433
Odisha|Sambalpur District|Sambalpur M|Sambalpur|Budharaja||Budharaja Road||Maxima|768001|21.482406|83.980233
Tamil Nadu|Chennai District|Egmore|Chennai|Anna Salai|Spencer Plaza|Anna Salai||TN 01 Mens Wear|600002|13.061301|80.26038
Jharkhand|Ranchi District|Kanke||||||HP eCharge Electric Vehicle Charging Station|835222|23.388611|85.234546
Uttar Pradesh|Aligarh District|Koil|Aligarh|Naveen Nagar|Dev Nagar|Khair Bypass||Massey Ferguson Viraj Tractors Service Centre|202001|27.897458|78.038673
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|Chikkalsandra|Udayanagar|Subramanyapura Main Road||Cafe Natural|560061|12.910926|77.551606
Delhi|South West District|Dwarka|New Delhi|Sector 23 B Dwarka|Pocket 7|||OYO Hotel|110077|28.560318|77.041333
Tamil Nadu|Chennai District|Velacheri|Chennai|Velachery|Nehru Nagar|Phoenix Market City Street||Oris|600042|12.993256|80.217525
Delhi|South East District|Kalkaji|New Delhi|Nehru Place||||Brij Lakshmi Developers Pvt Ltd|110019|28.548648|77.251756
Delhi|Central District|Pahar Ganj|New Delhi|Jhandewalan Extension|Block E3|||Senior Consulting Pvt Ltd|110055|28.645052|77.203144
Telangana|Rangareddy District|Serilingampally|Hyderabad|Kondapur|Hyderabad International Convention Centre|||Convention Hall 2|500084|17.472812|78.372732
Maharashtra|Mumbai Suburban District|Andheri|Mumbai|Bandra West||Waterfield Road||Marks & Spencer|400050|19.056114|72.833928
Gujarat|Gandhinagar District|Gandhinagar|Gandhinagar|Sector 25|Electronics Estate|||Marcopolo|382028|23.247066|72.634593
Uttar Pradesh|Lucknow District|Sarojani Nagar|Lucknow|Sushant Golf City|Sector B|||Revlon|226030|26.784369|80.991254
Tamil Nadu|Chennai District|Purasaivakkam|Chennai|Chennai Central||||Puratchi Thalaivar Dr MG Ramachandran Central Railway Station Gate|600003|13.082271|80.275323
Uttar Pradesh|Ghaziabad District|Ghaziabad|Ghaziabad|Kaushambi||||Kaushambi Metro Station Parking|201010|28.6453|77.3229
Telangana|Rangareddy District|Serilingampally|Hyderabad|Khaja Guda||Khajaguda Main Road||Lotus|500008|17.417737|78.36527
West Bengal|Hooghly District|Singur|Bhadreswar|Telengipara||Grand Trunk Road||De Beers Forevermark|712124|22.839604|88.36068
Madhya Pradesh|Indore District|Indore|Indore|Chhoti Gwaltol||RNT Marg||H&M|452001|22.718167|75.871515
Punjab|SAS Nagar District|Dera Bassi||||||Banquet Hall Chitvan Resort|140201|30.634728|76.875253
Gujarat|Gandhinagar District|Gandhinagar|Gandhinagar|Dhola Kuva||||Reptile House|382007|23.191732|72.648687
Haryana|Hisar District|Hisar|Hisar|Guru Jambeshwar University of Science & Technology||||GJUST Administration Block|125001|29.170391|75.73337
Telangana|Rangareddy District|Serilingampally|Hyderabad|Madinaguda||||Glida Electric Vehicle Charging Station|500049|17.49485|78.336433
Haryana|Gurugram District|Gurgaon|Gurugram|Sector 25|DLF City Phase 2|||Sikanderpur Metro Station Bike Parking|122008|28.481978|77.092928
Madhya Pradesh|Indore District|Indore|Indore|South Tukoganj|Treasure Island Mall|MG Road||TAC|452001|22.7215|75.878557
Delhi|South East District|Kalkaji|New Delhi|Nehru Place||||SNX International Pvt Ltd|110019|28.549706|77.250074
Maharashtra|Mumbai Suburban District|Andheri|Mumbai|Andheri West|Veera Desai Industrial Estate|New Link Road||Om Ganeshya Foods & Beverages Pvt Ltd|400053|19.136479|72.832328
Haryana|Rewari District|Kosli|Bhakali|||||Shri Krishna Automobiles Service Centre|123302|28.4095|76.454539
Madhya Pradesh|Vidisha District|Vidisha Nagar||||||IndianOil e-Charge Electric Vehicle Charging Station|464001|23.5388|77.7811
West Bengal|Kolkata District|Kolkata|Kolkata|Elgin|Minto Park|Gorky Terrace Road||Conference Room|700017|22.542448|88.352451
Punjab|Jalandhar District|Jalandhar 1|Jalandhar|Ali Mohalla||||Maxima|144001|31.32786|75.57392
Kerala|Palakkad District|Palakkad||||||MG Motor Electric Vehicle Charging Station|678701|10.73829|76.63349
Haryana|Gurugram District|Wazirabad|Gurugram|Sector 53||||USA Day Spa|122002|28.443151|77.100665
Gujarat|Ahmedabad District|Maninagar|Ahmedabad|Khokhara||||Shreeji Skin Care Clinic|380008|23.002525|72.619114
Telangana|Hyderabad District|Secunderabad|Hyderabad|Begumpet|Kundan Bagh|||Journey|500016|17.436452|78.456698
Tamil Nadu|Chennai District|Guindy|Chennai|Adyar|Kasthuribai Nagar|Sardar Patel Road||Samsung SmartPlaza|600020|13.006309|80.25448
Maharashtra|Mumbai Suburban District|Andheri|Mumbai|Bandra East|Bandra Kurla Complex|||Rado|400051|19.053418|72.850279
Telangana|Rangareddy District|Balapur|Hyderabad|Mamidipally||Novotel Hyderabad Airport Entry Road||Swimming Pool Novotel Hyderabad Airport Hotel|501218|17.242309|78.454476
Delhi|North District|Model Town|New Delhi|Azadpur|New Sabzi Mandi|Grand Trunk Road||Abdul Ghani Fruits|110033|28.712258|77.172601
Delhi|South East District|Defence Colony|New Delhi|Sarita Vihar|Pocket H Market|Sarita Vihar Road||Tea Stall|110076|28.53553|77.292211
Uttar Pradesh|Agra District|Agra|Agra|Civil Lines|Mandi Said|Mahatma Gandhi Marg||OYO Hotel|282002|27.196087|78.002136
Assam|Jorhat District|Jorhat West|Dhekorgorha|||||BPCL eDrive Electric Vehicle Charging Station|785015|26.77457|94.192232
Gujarat|Rajkot District|Rajkot East|Rajkot|Aji GIDC|GIDC Phase 2|E Road|288||360003|22.277064|70.824549
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Seshadripuram|Kumara Park West|6th Cross Road|101-103||560020|12.992399|77.57998
Haryana|Faridabad District|Badkhal|Faridabad|Sector 51|Firoz Gandhi Colony||E56||121005|28.377149|77.280166
Uttar Pradesh|Varanasi District|Sadar|Varanasi|Assi||BHU Road|B-29/6||221005|25.28378|83.003291
Tamil Nadu|Chennai District|Ayanavaram|Chennai|Villivakkam||Thazakinaru Street|26/20||600049|13.108794|80.206782
Delhi|North District|Model Town|New Delhi|Azadpur|New Sabzi Mandi||2||110033|28.715296|77.168141
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|Koramangala|Block 5|17th B Cross Road|95||560095|12.935175|77.620786
Delhi|Shahdara District|Vivek Vihar|New Delhi|New Modern Shahdara||Gali Number 6|36||110032|28.684222|77.299048
Punjab|Amritsar District|Amritsar 2|Amritsar|New Judge Nagar|||1315||143001|31.636092|74.897236
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|Thyagarajanagar|Shastri Nagar|Gayatri Bhavan Road|420||560070|12.930004|77.570797
Uttar Pradesh|Varanasi District|Sadar|Varanasi|Madanpura||Jangamwadi Road|D35/326||221001|25.304692|83.004839
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Chamarajpet|New Tharagupete|1st Cross Road|465||560018|12.962975|77.571341
Gujarat|Rajkot District|Rajkot East|Rajkot|Karan Para||Prahlad Road|3||360001|22.289729|70.805271
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Rajaji Nagar|Subramanya Nagar Stage 2|4th Cross Road|637B||560010|13.002285|77.553508
Maharashtra|Raigad District|Panvel|Navi Mumbai|New Panvel East|Sector 6||25||410206|19.008336|73.116427
Uttar Pradesh|Gautambuddha Nagar District|Gautam Buddha Nagar|Greater Noida|Knowledge Park 3||Mola Ali Marg|9||201306|28.475307|77.491919
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Rajaji Nagar|Block 2|17th Main Road|25-Jan||560010|12.995408|77.553043
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Wilson Garden|NGO Colony|BTS Main Road|352/31||560027|12.950828|77.597392
Tamil Nadu|Chennai District|Alandur|Chennai|Alandur|Station View Colony||423/293||600016|12.996457|80.199403
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|JP Nagar Phase 2||19th Main Road|130/I||560078|12.910578|77.588914
Gujarat|Surat District|Udhna|Surat|Udhana|Solapur Compound 2|Road Number 6G|105||394210|21.16135|72.848542
Odisha|Khordha District|Bhubaneswar M Corp|Bhubaneswar|Surya Nagar|Unit 7|Bidyut Marg|116/A||751008|20.268849|85.81759
Delhi|South East District|Defence Colony|New Delhi|Jamia Nagar|Abul Fazal Enclave Part 1||65||110025|28.554247|77.295351
Gujarat|Rajkot District|Rajkot East|Rajkot|Government Colony|||22||360001|22.303172|70.795694
Uttar Pradesh|Varanasi District|Sadar|Varanasi|Sigra|||D59/103Q3||221010|25.308549|82.98682
Uttar Pradesh|Kanpur Nagar District|Kanpur|Kanpur|Lakhan Pur|Awadhpuri||119||208002|26.498413|80.279075
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|Banashankari Stage 2|Siddanna Layout|5th Main Road|2834/B||560070|12.928859|77.571138
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Basaveshwara Nagar|KHB Colony Stage 2|6th Main Road|110||560079|12.985608|77.537581
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|JP Nagar Phase 3|Sarakki Industrial Layout|9th Cross Road|47/1||560078|12.910732|77.599247
Tamil Nadu|Chennai District|Guindy|Chennai|Ekkattuthangal||Cart Track Road|02-Feb||600032|13.021096|80.203567
Uttar Pradesh|Lucknow District|Sadar|Lucknow|Aliganj|Sector B||B35||226024|26.884907|80.93797
Maharashtra|Pune District|Haveli|Pimpri Chinchwad|Chikhali|Sector 13||14||411070|18.660577|73.82745
Maharashtra|Raigad District|Panvel|Navi Mumbai|New Panvel East|Sector 6||4||410206|19.009785|73.117902
Delhi|North District|Model Town|New Delhi|Azadpur|New Sabzi Mandi||13||110033|28.720672|77.162778
Punjab|Ludhiana District|Ludhiana East|Ludhiana|Sita Nagar|Bharat Nagar||572||141001|30.902172|75.845783
Maharashtra|Mumbai District|Mumbai|Mumbai|Matunga East||Dr Sulabha D Bhatavadekar Marg|428/435||400019|19.029062|72.856245
Rajasthan|Jaipur District|Jaipur|Jaipur|Adarsh Nagar||Gali Number 3|74||302004|26.906557|75.826442
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|Jayanagar|Block 9|38th Cross Road|365||560069|12.921755|77.593648
Telangana|Hyderabad District|Shaikpet|Hyderabad|Jubilee Hills|Film Nagar||9-4-30/A/4/80||500096|17.412032|78.409345
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|Devarachikannahalli|Krishnappa Layout||118/80A||560076|12.889145|77.613313
Rajasthan|Jaipur District|Jaipur|Jaipur|Shanti Nagar||Khatipura Road|34||302006|26.91583|75.776257
Delhi|North East District|Yamuna Vihar|New Delhi|Yamuna Vihar|Block B5||354||110053|28.700365|77.268774
Uttar Pradesh|Ghaziabad District|Ghaziabad|Ghaziabad|Pratap Vihar|Sector 11||472||201009|28.655517|77.413803
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Seshadripuram|KP Block|Nagappa Street|33/1||560003|12.9953|77.578094
Uttar Pradesh|Ghaziabad District|Ghaziabad|Ghaziabad|Pratap Vihar|Sector 11||462||201009|28.653166|77.413107
Maharashtra|Raigad District|Panvel|Navi Mumbai|New Panvel West|Sector 7||12||410206|19.011486|73.113379
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Frazer Town||1st Cross Road|97||560005|12.994215|77.612006
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Domlur|Amar Jyothi Layout|4th Main Road|102||560071|12.956478|77.641873
Uttar Pradesh|Gorakhpur District|Gorakhpur|Gorakhpur|Basharat Pur|Ashok Nagar||225||273004|26.782892|83.380775
Maharashtra|Thane District|Thane|Navi Mumbai|Pawane|TTC Industrial Area|Pawane MIDC Road Number 7|102||400705|19.090047|73.028421
Karnataka|Bengaluru Urban District|Bengaluru South|Bengaluru|Raghuvanahalli|Singapore Gardens and Green Fields|Konanakunte Main Road|88/1||560062|12.885649|77.554264
Maharashtra|Mumbai Suburban District|Borivali|Mumbai|Malad East||Bachani Nagar Road|2||400097|19.185468|72.854249
Tamil Nadu|Chennai District|Velacheri|Chennai|Velachery||1st Cross Street|205/13A||600042|12.984766|80.223433
Maharashtra|Nashik District|Nashik|Nashik|Satpur|Satpur MIDC||F49||422007|20.003635|73.720071
Maharashtra|Mumbai District|Mumbai|Mumbai|Girgaon|Mangal Wadi|Mangal Wadi Path|26||400004|18.952402|72.820312
Uttar Pradesh|Gautambuddha Nagar District|Gautam Buddha Nagar|Greater Noida|Ecotech 3|Udyog Kendra||110||201306|28.536381|77.463331
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Agrahara Dasarahalli||6th Cross Road|5||560079|12.980834|77.541954
Uttar Pradesh|Ghaziabad District|Ghaziabad|Ghaziabad|Govindpuram|Block B||B54||201013|28.681477|77.492166
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Vijaya Nagar North|HVR Layout|3rd Cross Road|155||560079|12.979906|77.532413
Tamil Nadu|Chennai District|Sholinganallur|Chennai|Perungudi|Karunanidhi Nagar|Latchumanan Main Road|5/161||600096|12.967161|80.249123
Maharashtra|Mumbai Suburban District|Borivali|Mumbai|Kandivali West|Charkop Industrial Estate|Dr Babasaheb Ambedkar Road|113AB||400067|19.209881|72.828425
Uttar Pradesh|Kanpur Nagar District|Kanpur|Kanpur|Karnal Ganj|Talak Mahal||97/65||208001|26.473234|80.341363
Maharashtra|Raigad District|Panvel|Navi Mumbai|New Panvel West|Sector 7||6||410206|19.009715|73.113646
Tamil Nadu|Tiruvallur District|Poonamallee|Chennai|Ambattur|Athipet|Vanagaram Ambattur Road|77-3||600058|13.084446|80.159777
Uttar Pradesh|Varanasi District|Sadar|Varanasi|Ganesh Mahal|||D34/77||221001|25.306277|83.007023
Maharashtra|Raigad District|Panvel|Navi Mumbai|New Panvel West|Sector 7||20||410206|19.011159|73.114225
Gujarat|Rajkot District|Rajkot East|Rajkot|Aji GIDC|GIDC Phase 2||199/3||360003|22.275436|70.82608
Uttar Pradesh|Prayagraj District|Sadar|Prayagraj|Daraganj|Sabji Mandi Shah Ganj|Bakshi Khurd Road|207/258||211006|25.444135|81.882183
Rajasthan|Jaipur District|Jaipur|Jaipur|Sodala|Vivek Vihar||838||302019|26.888072|75.760838
Telangana|Rangareddy District|Rajendranagar|Hyderabad|Gachibowli|Siddique Nagar|Street Number 13|1/61/1/934||500081|17.449141|78.367982
Delhi|North West District|Rohini|New Delhi|Rohini Sector 38|Rajiv Nagar|Main Kanjhawala Road|5||110086|28.724189|77.060538
Karnataka|Belagavi District|Belgaum|Belagavi|Angol Industrial Estate 1|||118||590008|15.823255|74.492787
Chhattisgarh|Bijapur District|Bijapur|Bijapur|Panara Para|||01-Oct||494444|18.816486|80.804535
Karnataka|Bengaluru Urban District|Bengaluru East|Bengaluru|Mahadevapura|B Narayanapura|Whitefield Road|170||560016|12.999872|77.68623
Delhi|South West District|Kapeshera|New Delhi|Goela Dairy|||96||110071|28.581488|77.019706
Uttar Pradesh|Kanpur Nagar District|Kanpur|Kanpur|Kidwai Nagar|Block K||128/599||208011|26.424475|80.320044
Tamil Nadu|Chennai District|Velacheri|Chennai|Besant Nagar|Kalakshetra Colony|Rukmani Road|28||600090|12.995012|80.263057
Tamil Nadu|Coimbatore District|Coimbatore South|Coimbatore|Thiruvalluvar Nagar|||71||641016|11.000635|77.055211
Delhi|South East District|Defence Colony|New Delhi|Jamia Nagar|Abul Fazal Enclave Part 1|Gali Number 17|265||110025|28.557501|77.292549
Kerala|Thiruvananthapuram District|Thiruvananthapuram|Thiruvananthapuram|Plamoodu|||TC11/1650||695004|8.513937|76.94684
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Richmond Town||Richmond Road|09-May||560025|12.965699|77.601745
Andhra Pradesh|Visakhapatnam District|Maharanipeta|Visakhapatnam|Jagdamba Junction|Suryabagh|Chandra Gupta Marg|30-15-20||530020|17.712638|83.298567
Kerala|Ernakulam District|Kochi|Kochi|Chullickal||Panddikudi Road|12/561B||682002|9.951904|76.249592
Punjab|Ludhiana District|Ludhiana East|Ludhiana|Old Ludhiana|Chaura Bazar Area|Saban Bazar Road|B-3-749/1||141008|30.917119|75.854202
Haryana|Gurugram District|Gurgaon|Gurugram|Sector 12A|Mianwali Colony||77C||122006|28.467282|77.027857
Uttar Pradesh|Kanpur Nagar District|Kanpur|Kanpur|Civil Line|PRMT Chauraha|Bikramajit Singh Road|15/60||208001|26.478528|80.347326
Telangana|Hyderabad District|Tirumalagiri|Secunderabad|Tirumalagiri|Teachers Colony||7-20/54||500015|17.48148|78.501391
Uttar Pradesh|Varanasi District|Sadar|Varanasi|Madanpura|Pandey Haveli||D31/306||221001|25.303572|83.005186
Maharashtra|Nashik District|Nashik|Nashik|Shramik Nagar|Sneh Deep Society||1||422222|19.993848|73.703284
Tamil Nadu|Coimbatore District|Coimbatore South|Coimbatore|Grey Town||Addis Street|03-Mar||641018|11.005089|76.968532
Tamil Nadu|Madurai District|Madurai South|Madurai|Pykara|Yohiyar Nagar||68B||625004|9.900756|78.093496
Uttar Pradesh|Ghaziabad District|Ghaziabad|Ghaziabad|Kavi Nagar|Block L|Tagore Road|KL44||201002|28.668536|77.449973
Telangana|Rangareddy District|Hayathnagar|Hyderabad|Vanasthalipuram|Saheb Nagar|Bank Colony Road|5-1-233||500070|17.321157|78.577322
Telangana|Nizamabad District|Nizamabad South|Nizamabad|Anand Nagar|||10-14-1853||503001|18.660091|78.090083
Uttar Pradesh|Prayagraj District|Soraon|Prayagraj|Phaphamau|||E41||211013|25.529704|81.852211
Delhi|South East District|Defence Colony|New Delhi|Jamia Nagar|Abul Fazal Enclave Part 1||3||110025|28.555331|77.293801
Delhi|West District|Rajouri Garden|New Delhi|Tilak Nagar|Block 17||34||110018|28.638062|77.093835
Maharashtra|Mumbai District|Mumbai|Mumbai|Lalbaug||Jijibhoy Lane|174||400012|18.995025|72.837603
Uttar Pradesh|Gautambuddha Nagar District|Dadri|Noida|Sector 63|Block A||170||201301|28.623587|77.379515
